trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,cost,finishReason,aiTopic
"#workflow/github.com/DataBiosphere/topmed-workflows/UM_variant_caller_wdl",1.32.0,https://raw.githubusercontent.com/DataBiosphere/topmed-workflows/1.32.0/variant-caller/variant-caller-wdl/topmed_freeze3_calling.wdl,03daf00da2f90efd50368bd392f1c32f93b8f48e968dcc573598c9432df5ba21,false,14312,22,0.00216,stop,Runs a variant calling workflow using input CRAM files and calculates DNA contamination if specified.
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/vcf-to-gds-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/vcf-to-gds/vcf-to-gds.wdl,e92888af471f11793f2c5c4fa7f8da825dfb51603aa6b7f6ecb8d51c9a815fd7,false,2652,26,4.1339999999999997E-4,stop,Converts VCF files to GDS format and optionally checks GDS files against their VCF inputs.
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/ld-pruning-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/ld-pruning/ld-pruning.wdl,eabd52bf3f223c58ad220a418f87f2ec23d2dd91958b61f12066144a8a84a444,false,3607,29,5.584499999999999E-4,stop,"Calculates linkage disequilibrium, subsets GDS files, merges them, and checks the merged file against the inputs."
"#workflow/github.com/AnalysisCommons/genesis_wdl/genesis_GWAS",v1_5,https://raw.githubusercontent.com/AnalysisCommons/genesis_wdl/v1_5//genesis_GWAS.wdl,9c0c50df22bb95869dcc66d77693ecaf702b980878f38feca3ebd75e00eb9fbe,false,3555,25,5.4825E-4,stop,"Execute a workflow that builds a null model, performs genetic association tests, and summarizes results for analysis."
"#workflow/github.com/aofarrel/covstats-wdl",master,https://raw.githubusercontent.com/aofarrel/covstats-wdl/master/covstats/covstats.wdl,49dec26c695bbb88e0e1198e04c6857f497c80b8b59f8bd86377eaf76ee74a4a,false,2167,26,3.4064999999999996E-4,stop,"Executes read length and coverage analysis on BAM or CRAM files, generating a report of the results."
"#workflow/github.com/broadinstitute/warp/Optimus",aa-PD2413,https://raw.githubusercontent.com/broadinstitute/warp/aa-PD2413/pipelines/skylab/optimus/Optimus.wdl,fb1b9fbd4be73e7210dec444d446c7405afcbcb11f9030391b5e63dd9defe4b6,false,2463,31,3.8804999999999997E-4,stop,"Processes 10x genomics sequencing data for scRNA or snRNA while correcting barcodes, aligning reads, and generating outputs."
"#workflow/github.com/theiagen/terra_utilities/Concatenate_Column_Content",v1.4.1,https://raw.githubusercontent.com/theiagen/terra_utilities/v1.4.1/workflows/wf_cat_column.wdl,e080a455cb741c152c056e55af55cb42b2b3b46e24cb7185c2e1a6f1b74389bc,false,176,18,3.7199999999999996E-5,stop,Concatenates specified files and captures versioning information for output.
"#workflow/github.com/gatk-workflows/seq-format-conversion/BAM-to-Unmapped-BAM",3.0.0,https://raw.githubusercontent.com/gatk-workflows/seq-format-conversion/3.0.0//bam-to-unmapped-bams.wdl,d75de73b26fd49d71a29e4709f77c4decb2b51209d169c1b3fa6fa427f53dd04,false,1021,24,1.6754999999999998E-4,stop,Converts BAM files to sorted unmapped BAMs using GATK within a defined workflow.
"#notebook/github.com/denis-yuen/test-notebooks/ibm-tax-maps",0.2,https://raw.githubusercontent.com/denis-yuen/test-notebooks/0.2/ibm-et/jupyter-samples/tax-maps/Interactive_Data_Maps.ipynb,7ffefdbf8c4ab6333b9ad78c6b811365365e2ae433bca2acf261cc1209c59027,false,86123,31,0.01293705,stop,Demonstrates creating interactive data maps in Jupyter using Folium and visualizing state tax collection data from the US Census Bureau.
quay.io/pancancer/pcawg-sanger-cgp-workflow,2.1.0,https://raw.githubusercontent.com/ICGC-TCGA-PanCancer/CGP-Somatic-Docker/2.1.0//Dockstore.cwl,5eb9e182fc2e313606a9445604a4b47e0546ed17a641448da12fcc0371ead3d8,false,2110,28,3.332999999999999E-4,stop,Executes the PCAWG Sanger variant calling workflow to identify somatic mutations from tumor and normal WGS sequences.
github.com/dockstore/dockstore-tool-bamstats/bamstats_sort_cwl,1.25-9,https://raw.githubusercontent.com/dockstore/dockstore-tool-bamstats/1.25-9//bamstats_sort.cwl,1fd7d8637cb91e031a6db604898f5728e51f4591bf4acfbb75ecefd0bfda3448,false,362,22,6.749999999999999E-5,stop,Demonstrates sorting of input files using a Docker container with BAMStats tool functionality.
