trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,cost,finishReason,aiTopic
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/vcf-to-gds-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/vcf-to-gds/vcf-to-gds.wdl,e92888af471f11793f2c5c4fa7f8da825dfb51603aa6b7f6ecb8d51c9a815fd7,false,3198,43,8.5325E-4,end_turn,"The workflow converts VCF files into GDS files, attempts to give unique variant IDs, and optionally checks the GDS files against their VCF inputs."
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/ld-pruning-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/ld-pruning/ld-pruning.wdl,eabd52bf3f223c58ad220a418f87f2ec23d2dd91958b61f12066144a8a84a444,false,4463,43,0.0011695,end_turn,"Performs LD pruning on GDS files, subsets the pruned variants, merges the subsets, and checks the merged GDS file against the inputs."
"#workflow/github.com/AnalysisCommons/genesis_wdl/genesis_GWAS",v1_5,https://raw.githubusercontent.com/AnalysisCommons/genesis_wdl/v1_5//genesis_GWAS.wdl,9c0c50df22bb95869dcc66d77693ecaf702b980878f38feca3ebd75e00eb9fbe,false,4268,33,0.00110825,end_turn,"Generates a null model from phenotype data, performs single variant and aggregate genetic association tests, and summarizes the results."
"#workflow/github.com/aofarrel/covstats-wdl",master,https://raw.githubusercontent.com/aofarrel/covstats-wdl/master/covstats/covstats.wdl,49dec26c695bbb88e0e1198e04c6857f497c80b8b59f8bd86377eaf76ee74a4a,false,2535,34,6.762500000000001E-4,end_turn,"Performs read length and coverage analysis on input BAM/CRAM files, generates a report, and outputs the results."
"#workflow/github.com/broadinstitute/warp/Optimus",aa-PD2413,https://raw.githubusercontent.com/broadinstitute/warp/aa-PD2413/pipelines/skylab/optimus/Optimus.wdl,fb1b9fbd4be73e7210dec444d446c7405afcbcb11f9030391b5e63dd9defe4b6,false,3308,58,8.994999999999999E-4,end_turn,"Imports various WDL tasks, defines input parameters, checks inputs, aligns reads, merges and sorts BAM files, calculates gene and cell metrics, runs EmptyDrops, and generates the final H5AD output file."
"#workflow/github.com/theiagen/terra_utilities/Concatenate_Column_Content",v1.4.1,https://raw.githubusercontent.com/theiagen/terra_utilities/v1.4.1/workflows/wf_cat_column.wdl,e080a455cb741c152c056e55af55cb42b2b3b46e24cb7185c2e1a6f1b74389bc,false,228,31,9.575E-5,end_turn,"Imports task files, concatenates column content, captures versioning, and outputs the concatenated files and version information."
"#workflow/github.com/gatk-workflows/seq-format-conversion/BAM-to-Unmapped-BAM",3.0.0,https://raw.githubusercontent.com/gatk-workflows/seq-format-conversion/3.0.0//bam-to-unmapped-bams.wdl,d75de73b26fd49d71a29e4709f77c4decb2b51209d169c1b3fa6fa427f53dd04,false,1269,31,3.56E-4,end_turn,"Converts BAM files to unmapped BAMs, including sorting and outputting the sorted unmapped BAMs."
"#notebook/github.com/denis-yuen/test-notebooks/ibm-tax-maps",0.2,https://raw.githubusercontent.com/denis-yuen/test-notebooks/0.2/ibm-et/jupyter-samples/tax-maps/Interactive_Data_Maps.ipynb,7ffefdbf8c4ab6333b9ad78c6b811365365e2ae433bca2acf261cc1209c59027,false,107543,41,0.026937000000000003,end_turn,"This notebook analyzes state government tax collections data from the US Census Bureau, visualizes the data using maps, and allows interactive exploration of the data through a widget."
quay.io/pancancer/pcawg-sanger-cgp-workflow,2.1.0,https://raw.githubusercontent.com/ICGC-TCGA-PanCancer/CGP-Somatic-Docker/2.1.0//Dockstore.cwl,5eb9e182fc2e313606a9445604a4b47e0546ed17a641448da12fcc0371ead3d8,false,2576,55,7.127500000000001E-4,end_turn,"Executes the Seqware-Sanger-Somatic-Workflow, a CWL-based command-line tool for performing somatic variant calling on tumor-normal paired whole-genome sequencing data."
github.com/dockstore/dockstore-tool-bamstats/bamstats_sort_cwl,1.25-9,https://raw.githubusercontent.com/dockstore/dockstore-tool-bamstats/1.25-9//bamstats_sort.cwl,1fd7d8637cb91e031a6db604898f5728e51f4591bf4acfbb75ecefd0bfda3448,false,429,33,1.485E-4,end_turn,Executes the sort command using a Docker container shared with bamstats to sort input files based on specified keys.
