trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,finishReason,aiTopic
"#workflow/github.com/nf-core/methylseq",1.4,https://raw.githubusercontent.com/nf-core/methylseq/1.4//main.nf,5123fc239af84cd0357ddfe1ca1f582d1f7412f08ecaa9bb2b8f19160bd75cfb,false,12632,48,stop,"Run a pipeline for methylation analysis using nf-core/methylseq by providing mandatory arguments like aligner, reads, and profile, as well as optional customizations such as genome, trimming options, trimming presets, email notifications, and more."
"#workflow/github.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/GATK_4_1_0_0_data_pre_processing_workflow",master,https://raw.githubusercontent.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/master//broad-best-practice-data-pre-processing-workflow-4-1-0-0_decomposed.cwl,2f87eaf01d47acf0d70b41609d6faba135e11db5ca337f99ae18c614996e387e,false,6565,31,stop,"Define workflow for BROAD Best Practice Data Pre-processing including steps like BWA, GATK, merge alignment, and gather BAM files in a scatter."
"#workflow/github.com/DataBiosphere/topmed-workflows/UM_variant_caller_wdl",1.32.0,https://raw.githubusercontent.com/DataBiosphere/topmed-workflows/1.32.0/variant-caller/variant-caller-wdl/topmed_freeze3_calling.wdl,03daf00da2f90efd50368bd392f1c32f93b8f48e968dcc573598c9432df5ba21,false,14189,30,stop,"Run a workflow to calculate contamination, create CRAM index files, and perform variant calling with TopMed variant caller using provided input files and reference data."
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/vcf-to-gds-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/vcf-to-gds/vcf-to-gds.wdl,e92888af471f11793f2c5c4fa7f8da825dfb51603aa6b7f6ecb8d51c9a815fd7,false,2619,27,stop,"The workflow converts VCF files to GDS, generates unique variant IDs, and checks GDS files against their supposed VCF inputs."
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/ld-pruning-wdl",v7.1.1,https://raw.githubusercontent.com/DataBiosphere/analysis_pipeline_WDL/v7.1.1/ld-pruning/ld-pruning.wdl,eabd52bf3f223c58ad220a418f87f2ec23d2dd91958b61f12066144a8a84a444,false,3574,36,stop,"Execute LD pruning, subset a GDS file based on variants, merge GDS files into one, and check the merged GDS file against its inputs in a bioinformatics workflow."
"#workflow/github.com/AnalysisCommons/genesis_wdl/genesis_GWAS",v1_5,https://raw.githubusercontent.com/AnalysisCommons/genesis_wdl/v1_5//genesis_GWAS.wdl,9c0c50df22bb95869dcc66d77693ecaf702b980878f38feca3ebd75e00eb9fbe,false,3530,21,stop,"Create a workflow that generates a null model, conducts association tests on genetic data, and summarizes the results."
"#workflow/github.com/aofarrel/covstats-wdl",master,https://raw.githubusercontent.com/aofarrel/covstats-wdl/master/covstats/covstats.wdl,49dec26c695bbb88e0e1198e04c6857f497c80b8b59f8bd86377eaf76ee74a4a,false,2175,30,stop,"Execute a workflow to analyze read length and coverage from BAM/CRAM files, determine the Docker container based on user input, and generate a report."
"#workflow/github.com/broadinstitute/warp/Optimus",aa-PD2413,https://raw.githubusercontent.com/broadinstitute/warp/aa-PD2413/pipelines/skylab/optimus/Optimus.wdl,fb1b9fbd4be73e7210dec444d446c7405afcbcb11f9030391b5e63dd9defe4b6,false,2456,35,stop,"Execute the workflow ""Optimus"" that processes 10x genomics sequencing data by correcting barcodes, aligning reads, marking duplicates, and producing alignments and count data."
"#workflow/github.com/theiagen/terra_utilities/Concatenate_Column_Content",v1.4.1,https://raw.githubusercontent.com/theiagen/terra_utilities/v1.4.1/workflows/wf_cat_column.wdl,e080a455cb741c152c056e55af55cb42b2b3b46e24cb7185c2e1a6f1b74389bc,false,161,25,stop,"Combine files and capture version information using tasks for file handling and versioning in a workflow, outputting the version and date."
"#workflow/github.com/gatk-workflows/seq-format-conversion/BAM-to-Unmapped-BAM",3.0.0,https://raw.githubusercontent.com/gatk-workflows/seq-format-conversion/3.0.0//bam-to-unmapped-bams.wdl,d75de73b26fd49d71a29e4709f77c4decb2b51209d169c1b3fa6fa427f53dd04,false,984,29,stop,"Execute a workflow that converts BAM files to unmapped BAM files, involving tasks like RevertSam and SortSam with specific parameters and Docker containers."
"#notebook/github.com/denis-yuen/test-notebooks/ibm-tax-maps",0.2,https://raw.githubusercontent.com/denis-yuen/test-notebooks/0.2/ibm-et/jupyter-samples/tax-maps/Interactive_Data_Maps.ipynb,7ffefdbf8c4ab6333b9ad78c6b811365365e2ae433bca2acf261cc1209c59027,true,16283,30,stop,"Exploit data to analyze state government tax collections totaling over $846 billion, categorize taxes, and plot a pie chart for tax collections by category."
quay.io/pancancer/pcawg-sanger-cgp-workflow,2.1.0,https://raw.githubusercontent.com/ICGC-TCGA-PanCancer/CGP-Somatic-Docker/2.1.0//Dockstore.cwl,5eb9e182fc2e313606a9445604a4b47e0546ed17a641448da12fcc0371ead3d8,false,2097,31,stop,Run the Seqware-Sanger-Somatic-Workflow commandlinetool to execute a variant calling workflow in a Docker environment with specified input and output files.
github.com/dockstore/dockstore-tool-bamstats/bamstats_sort_cwl,1.25-9,https://raw.githubusercontent.com/dockstore/dockstore-tool-bamstats/1.25-9//bamstats_sort.cwl,1fd7d8637cb91e031a6db604898f5728e51f4591bf4acfbb75ecefd0bfda3448,false,347,24,stop,"Sorts input file using the ""sort"" command, with a specified key and Docker container, and outputs sorted file."
